date,page_name,접속수,고유IP수,date_str
2026-04-02,1_MTBA_Dashboard,55,29,2026-04-02
2026-04-02,2_UPH_Dashboard,52,24,2026-04-02
2026-04-02,Home,82,30,2026-04-02
2026-04-03,1_MTBA_Dashboard,22,6,2026-04-03
2026-04-03,2_UPH_Dashboard,24,9,2026-04-03
2026-04-03,Home,34,9,2026-04-03
2026-04-06,1_MTBA_Dashboard,5,4,2026-04-06
2026-04-06,2_UPH_Dashboard,6,6,2026-04-06
2026-04-06,Home,5,5,2026-04-06
2026-04-07,1_MTBA_Dashboard,5,4,2026-04-07
2026-04-07,2_UPH_Dashboard,12,5,2026-04-07
2026-04-07,Home,14,5,2026-04-07
2026-04-08,1_MTBA_Dashboard,4,4,2026-04-08
2026-04-08,2_UPH_Dashboard,14,4,2026-04-08
2026-04-08,Home,14,4,2026-04-08
2026-04-09,1_MTBA_Dashboard,1,1,2026-04-09
2026-04-09,2_UPH_Dashboard,1,1,2026-04-09
2026-04-09,Home,2,2,2026-04-09
2026-04-10,1_MTBA_Dashboard,1,1,2026-04-10
2026-04-10,2_UPH_Dashboard,1,1,2026-04-10
2026-04-10,Home,1,1,2026-04-10
2026-04-11,Home,1,1,2026-04-11
2026-04-13,1_MTBA_Dashboard,7,5,2026-04-13
2026-04-13,2_UPH_Dashboard,5,4,2026-04-13
2026-04-13,Home,9,6,2026-04-13
2026-04-14,1_MTBA_Dashboard,9,5,2026-04-14
2026-04-14,2_UPH_Dashboard,9,5,2026-04-14
2026-04-14,Home,10,6,2026-04-14
2026-04-15,1_MTBA_Dashboard,13,9,2026-04-15
2026-04-15,2_UPH_Dashboard,10,6,2026-04-15
2026-04-15,3_CMP_Dashboard,13,7,2026-04-15
2026-04-15,Home,31,11,2026-04-15
2026-04-16,1_MTBA_Dashboard,1,1,2026-04-16
2026-04-16,2_UPH_Dashboard,2,2,2026-04-16
2026-04-16,3_CMP_Dashboard,2,2,2026-04-16
2026-04-16,Home,3,3,2026-04-16
2026-04-17,1_MTBA_Dashboard,9,5,2026-04-17
2026-04-17,2_UPH_Dashboard,9,4,2026-04-17
2026-04-17,3_CMP_Dashboard,10,4,2026-04-17
2026-04-17,Home,13,7,2026-04-17
2026-04-20,1_CMP_Dashboard,6,2,2026-04-20
2026-04-20,1_MTBA_Dashboard,4,2,2026-04-20
2026-04-20,2_MTBA_Dashboard,1,1,2026-04-20
2026-04-20,2_MTBA_Detail_view,6,5,2026-04-20
2026-04-20,2_UPH_Dashboard,13,7,2026-04-20
2026-04-20,3_CMP_Dashboard,8,7,2026-04-20
2026-04-20,3_MTBA_Dashboard,6,3,2026-04-20
2026-04-20,4_MTBA_Detail_view,8,4,2026-04-20
2026-04-20,Home,27,10,2026-04-20
