week_start,year_week,page_name,접속수,고유IP수
2026-03-30,2026-W14,1_MTBA_Dashboard,77,31
2026-03-30,2026-W14,2_UPH_Dashboard,76,29
2026-03-30,2026-W14,Home,116,35
2026-04-06,2026-W15,1_MTBA_Dashboard,16,11
2026-04-06,2026-W15,2_UPH_Dashboard,34,13
2026-04-06,2026-W15,Home,37,11
2026-04-13,2026-W16,1_MTBA_Dashboard,39,19
2026-04-13,2026-W16,2_UPH_Dashboard,35,15
2026-04-13,2026-W16,3_CMP_Dashboard,25,10
2026-04-13,2026-W16,Home,66,22
2026-04-20,2026-W17,1_CMP_Dashboard,6,2
2026-04-20,2026-W17,1_MTBA_Dashboard,4,2
2026-04-20,2026-W17,2_MTBA_Dashboard,1,1
2026-04-20,2026-W17,2_MTBA_Detail_view,6,5
2026-04-20,2026-W17,2_UPH_Dashboard,13,7
2026-04-20,2026-W17,3_CMP_Dashboard,8,7
2026-04-20,2026-W17,3_MTBA_Dashboard,6,3
2026-04-20,2026-W17,4_MTBA_Detail_view,8,4
2026-04-20,2026-W17,Home,27,10
